impact_id	reference_id
B1C1	1
B2C1	1
B3C2	2
B4C2	3
B5C2	3
B6C2	4
B7C2	5
B8C2	6
B9C3	7
B9C4	7
B10C3	7
B10C5	7
B11C3	7
B11C4	7
B12C5	7
B12C6	7
B13C7	7
B14C5	8
B14C5	9
B15C6	7
B16C8	10
B17C8	11
B12C8	7
B18C8	12
B19C8	12
B20C8	13
B21C9	12
B22C9	14
B23C9	15
B3C9	12
B24C9	12
B25C9	16
B25C9	17
B26C9	17
B27C9	17
B28C9	17
B29C9	17
B30C9	17
B31C9	18
B31C9	19
B32C9	20
B33C9	20
B34C9	21
B34C9	22
B34C9	23
B35C10	24
B36C11	24
B37C10	24
B4C10	24
B5C10	24
B38C13	24
B39C13	24
B40C14	24
B41C13	24
B42C13	24
B42C13	25
B43C11	24
B43C11	25
B44C11	24
B44C11	25
B45C10	24
B46C11	24
B47C10	24
B48C13	24
B49C13	24
B50C13	24
B51C13	24
B52C13	24
B53C10	24
B54C13	24
B55C15	24
B56C11	24
B57C11	24
B58C13	24
B59C10	24
B60C13	24
B61C11	24
B62C13	24
B63C13	24
B64C13	24
B65C10	24
B66C13	24
B3C13	24
B67C16	26
B68C16	26
B68C16	29
B69C17	26
B69C17	30
B70C17	26
B1C18	26
B71C17	26
B71C17	31
B72C18	26
B72C17	32
B73C17	26
B73C17	33
B73C17	34
B74C18	26
B74C17	26
B75C17	26
B75C17	35
B76C17	26
B76C17	36
B76C17	37
B77C20	27
B78C20	27
B70C20	27
B77C21	27
B78C21	27
B70C21	27
B77C22	27
B3C22	27
B70C22	27
B4C22	28
B5C22	28
B77C23	27
B3C23	27
B78C23	27
B70C23	27
B1C24	38
B1C24	39
B2C24	38
B2C24	39
B2C25	38
B2C25	39
B3C25	38
B3C25	40
B79C25	38
B79C25	41
B75C24	38
B59C24	38
B59C24	42
B80C25	38
B80C25	43
B81C25	38